Unnamed: 0,battleTime,arena.id,gameMode.id,average.startingTrophies,winner.tag,winner.startingTrophies,winner.trophyChange,winner.crowns,winner.kingTowerHitPoints,winner.princessTowersHitPoints,winner.clan.tag,winner.clan.badgeId,loser.tag,loser.startingTrophies,loser.trophyChange,loser.crowns,loser.kingTowerHitPoints,loser.clan.tag,loser.clan.badgeId,loser.princessTowersHitPoints,tournamentTag,winner.card1.id,winner.card1.level,winner.card2.id,winner.card2.level,winner.card3.id,winner.card3.level,winner.card4.id,winner.card4.level,winner.card5.id,winner.card5.level,winner.card6.id,winner.card6.level,winner.card7.id,winner.card7.level,winner.card8.id,winner.card8.level,winner.cards.list,winner.totalcard.level,winner.troop.count,winner.structure.count,winner.spell.count,winner.common.count,winner.rare.count,winner.epic.count,winner.legendary.count,winner.elixir.average,loser.card1.id,loser.card1.level,loser.card2.id,loser.card2.level,loser.card3.id,loser.card3.level,loser.card4.id,loser.card4.level,loser.card5.id,loser.card5.level,loser.card6.id,loser.card6.level,loser.card7.id,loser.card7.level,loser.card8.id,loser.card8.level,loser.cards.list,loser.totalcard.level,loser.troop.count,loser.structure.count,loser.spell.count,loser.common.count,loser.rare.count,loser.epic.count,loser.legendary.count,loser.elixir.average
10,2020-12-31 21:04:38+00:00,54000050.0,72000006.0,4362.5,#C00G0C9,4364.0,29.0,1.0,4824.0,"[1283, 1177]",#9VVYUL8,16000017.0,#P8PVQYGCG,4361.0,-29.0,0.0,2484.0,#Y2YUGPGL,16000002.0,[51],,28000015,10,26000009,10,26000035,10,28000012,9,26000063,10,26000054,11,26000039,10,26000015,11,"[26000009, 26000015, 26000035, 26000039, 26000054, 26000063, 28000012, 28000015]",81,6,0,2,0,1,6,1,4.25,28000011,10,26000011,11,26000017,13,26000015,13,26000021,11,26000037,11,26000024,11,26000012,12,"[26000011, 26000012, 26000015, 26000017, 26000021, 26000024, 26000037, 28000011]",92,7,0,1,1,3,2,2,4.0
11,2020-12-31 21:04:43+00:00,54000050.0,72000006.0,5253.0,#RUY8UC0U,5245.0,31.0,1.0,5832.0,"[3668, 915]",#2L9VLGG,16000081.0,#88GJLP02C,5261.0,-31.0,0.0,5832.0,#PJUR82Q8,16000050.0,[1181],,26000009,13,26000015,13,26000035,13,26000018,13,28000007,13,26000039,13,26000048,12,26000010,12,"[26000009, 26000010, 26000015, 26000018, 26000035, 26000039, 26000048, 28000007]",102,7,0,1,1,2,3,2,4.25,26000052,13,26000035,12,28000005,13,26000006,13,28000012,12,26000034,12,26000037,12,28000015,13,"[26000006, 26000034, 26000035, 26000037, 26000052, 28000005, 28000012, 28000015]",100,5,0,3,0,1,5,2,3.875
12,2020-12-31 21:04:53+00:00,54000050.0,72000006.0,4754.0,#8JQPVRR,4740.0,32.0,2.0,4634.0,[2558],#YU0JV9QV,16000077.0,#P8YRLLV8,4768.0,-32.0,1.0,4149.0,#8VYCY99,16000171.0,,,26000015,12,26000013,13,26000005,13,26000008,13,28000004,12,26000003,13,28000000,13,28000008,13,"[26000003, 26000005, 26000008, 26000013, 26000015, 28000000, 28000004, 28000008]",102,5,0,3,4,2,2,0,3.625,26000012,11,28000009,12,26000009,12,26000049,13,26000026,10,26000013,12,26000031,13,26000040,12,"[26000009, 26000012, 26000013, 26000026, 26000031, 26000040, 26000049, 28000009]",95,7,0,1,3,1,3,1,3.5
13,2020-12-31 21:05:26+00:00,54000050.0,72000006.0,5403.0,#PVLPJP2Y,5400.0,30.0,2.0,5832.0,[2412],#2PYV00GQ,16000030.0,#90L22JC89,5406.0,-30.0,1.0,5042.0,#8PGVU9GJ,16000107.0,,,26000008,13,26000022,13,28000001,13,26000004,13,26000003,13,27000004,13,28000002,13,26000006,13,"[26000003, 26000004, 26000006, 26000008, 26000022, 27000004, 28000001, 28000002]",104,5,1,2,3,2,3,0,4.5,28000009,13,28000011,13,26000062,12,26000050,12,26000042,13,26000036,13,26000004,13,26000046,12,"[26000004, 26000036, 26000042, 26000046, 26000050, 26000062, 28000009, 28000011]",101,6,0,2,0,1,2,5,3.875
14,2020-12-31 21:05:36+00:00,54000050.0,72000006.0,5622.5,#88RY900LY,5611.0,31.0,1.0,5832.0,"[3563, 1010]",#8GGCQQ82,16000097.0,#8J0PJLQQQ,5634.0,-31.0,0.0,5832.0,#2GLVUJYQ,16000024.0,[1650],,26000047,13,28000008,13,27000012,13,26000059,13,26000046,13,26000001,13,28000014,13,26000057,13,"[26000001, 26000046, 26000047, 26000057, 26000059, 27000012, 28000008, 28000014]",104,5,1,2,3,4,0,1,3.875,28000000,13,28000008,13,26000042,13,26000037,13,26000027,13,26000003,13,28000011,13,26000016,13,"[26000003, 26000016, 26000027, 26000037, 26000042, 28000000, 28000008, 28000011]",104,5,0,3,1,2,2,3,3.75
15,2020-12-31 21:05:36+00:00,54000050.0,72000006.0,5148.0,#8YP090GLJ,5144.0,30.0,1.0,4724.0,"[15, 2560]",#2CVGGG2G,16000162.0,#982CGC8YY,5152.0,-30.0,0.0,4196.0,#YRJCURQG,16000081.0,[2238],,27000003,13,26000021,13,26000045,13,26000005,13,26000011,13,28000008,13,26000031,13,26000055,13,"[26000005, 26000011, 26000021, 26000031, 26000045, 26000055, 27000003, 28000008]",104,6,1,1,3,3,1,1,4.0,26000049,13,26000023,13,26000012,13,26000017,13,28000008,13,26000018,13,26000033,13,26000003,13,"[26000003, 26000012, 26000017, 26000018, 26000023, 26000033, 26000049, 28000008]",104,7,0,1,2,3,1,2,3.75
16,2020-12-31 21:05:36+00:00,54000050.0,72000006.0,4124.0,#GL92UG02P,4123.0,30.0,3.0,4392.0,"[2786, 529]",#QLG9PYC,16000167.0,#8YJGCYUC9,4125.0,-30.0,0.0,,#PR8U0PYQ,16000009.0,,,26000009,9,26000048,9,26000035,9,28000015,9,26000039,8,26000015,8,28000008,11,28000007,8,"[26000009, 26000015, 26000035, 26000039, 26000048, 28000007, 28000008, 28000015]",71,5,0,3,1,1,4,2,4.125,28000003,10,26000055,9,26000022,11,26000009,11,26000006,10,26000085,7,27000008,10,26000037,10,"[26000006, 26000009, 26000022, 26000037, 26000055, 26000085, 27000008, 28000003]",78,6,1,1,1,1,4,2,6.125
17,2020-12-31 21:05:37+00:00,54000050.0,72000006.0,4666.5,#YGU2RGLL,4662.0,30.0,3.0,5832.0,"[3668, 3668]",#U0JCGLV,16000024.0,#9QP8UVCYR,4671.0,-30.0,0.0,,,,,,26000015,13,26000011,13,26000000,13,26000021,13,26000056,13,26000026,13,26000037,13,27000010,13,"[26000000, 26000011, 26000015, 26000021, 26000026, 26000037, 26000056, 27000010]",104,7,1,0,1,3,2,2,3.625,26000030,12,26000055,11,26000021,11,26000062,10,26000005,12,28000013,11,27000000,12,26000010,12,"[26000005, 26000010, 26000021, 26000030, 26000055, 26000062, 27000000, 28000013]",91,6,1,1,4,1,1,2,3.25
18,2020-12-31 21:06:08+00:00,54000050.0,72000006.0,5229.5,#L2YRUVP,5238.0,28.0,1.0,5832.0,"[2904, 548]",#99PGPV02,16000038.0,#V8CQGRL9,5221.0,-28.0,0.0,5832.0,#8CJQJLQL,16000002.0,[3348],,26000032,13,26000003,13,28000001,13,28000000,13,26000007,13,26000039,13,26000018,13,28000008,13,"[26000003, 26000007, 26000018, 26000032, 26000039, 28000000, 28000001, 28000008]",104,5,0,3,2,4,1,1,3.625,26000036,13,28000011,13,26000004,13,26000046,12,28000007,13,26000080,13,26000042,12,28000001,13,"[26000004, 26000036, 26000042, 26000046, 26000080, 28000001, 28000007, 28000011]",102,5,0,3,2,1,2,3,4.125
19,2020-12-31 21:06:33+00:00,54000050.0,72000006.0,4333.5,#Y9QL09VGV,4344.0,28.0,1.0,4392.0,"[2503, 2759]",#2J9YCYG0,16000168.0,#L9QUQLCPU,4323.0,-28.0,0.0,4392.0,#YC8UQJVU,16000014.0,[2250],,28000004,11,28000000,9,26000041,11,26000016,10,26000026,10,28000011,11,26000023,10,28000012,8,"[26000016, 26000023, 26000026, 26000041, 28000000, 28000004, 28000011, 28000012]",80,4,0,4,1,1,3,3,3.25,26000026,9,26000042,9,26000020,8,26000055,10,26000045,8,26000017,10,28000000,8,28000005,8,"[26000017, 26000020, 26000026, 26000042, 26000045, 26000055, 28000000, 28000005]",70,6,0,2,0,2,3,3,4.75
